#OGID T  <I>    <V>      P_1  *=extrapolated V magnitude
00082 O 14.241 16.509  164.84
00094 C 15.120 18.885  332.30
00098 C 15.159 17.921  323.10
00115 C 14.932 16.947  176.13
00355 O 14.199 16.219  154.59
00743 O 14.063 16.412  216.10
00846 C 15.047 18.297  405.50
00881 O 14.248 15.943  120.25
00891 C 14.766 17.213  250.20
00892 C 13.517 16.044  400.80
00897 C 14.200 16.221  266.80
00902 O 14.195 17.309  296.00
00990 O 13.080 15.783  320.90
01013 C 14.607 16.712  158.73
01054 C 14.472 16.735  280.30
01059 O 13.849 15.855  199.48
01199 O 15.046 17.666  132.76
01262 O 14.097 16.556  245.20
01288 C 14.721 18.259  394.60
01309 O 14.278 16.578  170.41
01312 O 14.862 21.472 1179.00 *
01539 C 14.350 16.687  298.70
01608 O 14.219 16.916  182.79
01752 O 14.027 16.275  205.80
01785 C 14.513 17.966  389.20
01835 O 14.351 16.890  236.60
01898 O 14.433 16.780  206.30
01998 O 14.529 17.780  256.20
02028 C 14.791 17.608  297.30
02346 O 14.391 16.743  171.10
02466 O 14.412 16.828  191.89
02562 C 14.643 17.525  314.60
02746 C 14.331 16.389  224.90
02837 O 14.414 16.417  146.36
02906 C 14.549 16.611  213.50
02945 O 14.297 16.951  214.70
02965 O 14.643 17.186  153.25
03019 C 15.014 18.640  428.80
03094 C 14.980 18.293  375.10
03172 C 14.490 16.656  210.20
03286 O 15.113 17.643  131.49
03419 C 14.447 16.330  190.81
03466 O 14.165 16.296  193.63
03480 C 14.780 17.031  360.00
03843 C 15.062 18.416  372.40
03910 O 13.283 20.808 1250.00
03952 O 14.722 17.666  178.82
04014 O 14.948 17.858  206.40
04228 O 14.683 17.680  205.60
04254 O 14.951 17.663  129.73
04312 O 14.220 20.724 1265.00
04459 C 14.583 17.265  299.50
04669 O 14.370 18.040  416.00
04689 O 14.687 20.568 1080.00 *
04798 O 14.408 20.108  360.20
04854 O 14.716 17.264  167.80
04953 C 14.322 16.280  242.80
04982 O 14.017 16.169  162.23
04984 O 14.418 16.677  179.65
05122 C 14.560 17.605  563.10
05179 O 13.288 18.326  756.10
05341 O 14.536 17.647  229.60
05384 O 14.585 17.621  237.80
05500 C 14.296 16.565  250.00
05517 O 14.271 16.646  180.22
05728 O 13.359 16.787  372.10 *
05878 O 13.822 18.721  911.60
05900 C 15.083 18.881  427.50
05918 C 14.933 18.707  517.70
05929 C 14.649 16.744  231.60
06049 C 15.053 18.147  381.00
06171 C 13.057 16.006  693.90
06232 O 14.409 16.683  207.80
06357 C 14.379 17.678  384.00
06398 O 14.281 17.154  246.00
06598 O 14.188 16.760  210.50
06612 C 14.463 16.872  243.20
06635 O 14.481 17.332  224.30
06810 O 14.381 16.627  159.39
06815 O 14.427 16.365  121.70
06819 C 12.972 18.166  886.00
06870 C 14.923 18.529  563.30
06950 C 14.586 17.239  316.40
07180 C 14.370 17.084  322.80 *
07267 C 14.528 17.750  386.70
07437 O 14.688 17.622  228.40
07590 C 14.876 18.359  422.30
07944 O 14.202 16.420  210.70
08113 O 14.848 18.014  253.30
08252 O 14.328 16.667  153.70
08988 C 14.335 17.073  323.80
09007 C 14.848 17.708  356.30
09008 O 12.998 16.705  325.90
09034 O 13.002 17.367  574.70
09045 C 14.171 16.355  258.70
09063 O 13.993 17.016  267.40
09268 C 14.287 16.931  332.20
09422 O 12.775 16.846  879.80
09559 O 14.113 16.245  216.20
09601 C 14.575 17.607  340.40
09653 O 14.243 17.207  333.50
09701 O 13.063 16.985  662.30
09702 C 14.221 16.646  305.80
09743 C 14.385 16.945  284.90
09807 O 14.271 17.559  354.50
09816 O 14.719 17.542  238.00
10004 O 14.331 18.100  386.60
10017 C 15.045 17.951  299.60
10032 O 14.236 17.919  383.20 *
10137 O 13.054 17.591  660.60
10260 C 14.751 18.309  498.80 *
10292 O 14.078 16.491  214.20
10425 O 14.383 17.256  229.30
10522 O 15.044 17.872  149.75
10534 O 14.343 17.136  241.50
10559 C 14.715 17.801  321.30
10601 O 14.538 18.237  278.20
10609 O 14.144 16.181  176.67
10643 O 14.298 16.611  159.63
11035 O 13.758 17.086  389.10
11105 O 14.215 16.697  222.90
11122 O 14.491 16.876  155.89
11157 C 14.675 18.393  418.20
11163 C 14.371 16.912  314.00
11284 C 15.098 17.632  273.50
11318 O 14.019 16.059  161.82
11363 O 14.506 17.704  281.60
11378 O 12.852 16.467  474.90
11394 O 14.418 16.811  171.93
11452 C 14.164 16.695  319.00
11472 C 14.911 17.112  343.20
11607 C 14.433 16.890  287.80
11637 O 13.370 16.861  927.70
11840 O 14.497 16.870  195.84
11929 C 14.406 16.288  221.60
11976 O 12.902 16.614  610.50
12021 O 14.225 16.444  155.39
12074 O 12.646 15.953  656.70
12100 C 14.259 16.875  314.00
12125 O 13.865 17.620  391.30
12234 C 15.160 18.921  475.70
12236 O 14.896 17.520  146.26
12320 C 14.648 17.212  385.40
12671 O 14.274 16.477  168.35
12695 O 14.128 16.273  247.80
12712 O 14.485 16.552  123.33
12829 C 14.620 16.939  232.00
12840 C 14.941 17.582  323.70
12874 O 14.151 16.393  179.10
12990 C 14.703 17.934  408.90
13021 O 14.309 16.844  200.80
13146 C 14.113 16.288  304.30
13563 C 14.834 17.718  314.10
13618 O 15.070 17.417  124.04
13666 C 14.775 17.315  313.20
14018 C 14.381 17.723  391.50
14120 C 14.299 16.865  310.50
14292 C 13.548 16.217  416.60
14326 O 14.515 17.584  214.70
14505 O 14.386 17.359  234.10
14604 C 14.965 17.898  400.80
14609 O 13.993 16.590  224.10
14701 C 14.346 17.411  405.40
14854 C 14.341 17.061  324.40 *
14907 O 14.243 16.797  173.06
14995 O 14.495 16.828  169.93
15053 O 14.146 18.072  375.80
15339 O 14.015 16.620  231.00
15419 O 14.477 19.652  577.20
15508 O 14.716 17.581  205.70
15539 O 13.084 16.274  464.50
15717 C 14.459 16.107  138.20
15748 C 14.147 16.210  251.20
15933 O 14.272 16.504  175.65
16167 O 14.148 17.852  305.90
16249 O 14.565 17.256  206.80
16412 C 14.293 16.248  207.80
16566 C 14.159 16.202  258.70
16796 O 14.167 19.049  357.00
16846 O 14.007 16.000  162.20
16902 O 13.252 17.356  607.50
16987 O 14.788 18.375  277.00
17041 C 14.435 17.045  317.00
17108 C 14.497 17.437  378.70
17111 O 13.654 17.457  428.40
17203 O 14.581 17.703  232.40
17206 O 14.182 16.114  143.58
17419 C 13.261 17.077  753.40 *
17437 C 14.294 16.634  256.50
17449 O 14.406 17.006  196.38
17753 O 14.256 16.651  198.85
17853 O 13.279 17.413  467.90
17881 O 13.481 17.414  597.80
17959 O 14.517 16.889  165.99
17962 C 14.889 17.613  305.00
18001 O 14.005 16.598  233.90
18181 C 14.259 16.914  302.20
18353 O 14.252 17.972  323.40
18365 C 14.849 18.366  439.60
18455 O 14.534 18.891  499.70
18728 C 14.405 16.743  290.60
18748 O 14.451 17.316  209.10
18787 C 14.136 16.213  252.00
18816 O 14.852 17.939  206.30
18832 C 14.855 18.286  507.10
18996 C 14.405 16.939  270.40
19063 O 12.915 16.857  465.10
19073 O 14.022 16.931  251.30
19152 C 14.056 16.689  362.80
19261 C 14.616 17.356  293.80
19272 C 14.723 17.277  325.50
19279 O 14.297 17.798  339.70
19417 O 14.459 16.484  134.06
19425 C 14.372 16.904  311.10
19464 C 14.980 18.817  352.30
19756 O 14.362 17.932  329.90
20128 O 14.360 16.433  130.43
20262 O 14.392 16.524  177.45
20348 O 14.416 16.764  165.09
20426 C 14.902 18.016  471.40
20437 O 14.790 17.312  143.96
20469 O 14.126 16.202  153.54
20527 O 14.456 17.495  256.20
21137 O 14.297 16.888  227.40
21159 C 14.800 17.318  265.10
21191 C 14.543 17.752  400.30
21227 C 14.662 16.441  333.70
21247 O 14.797 18.029  258.40
21288 C 15.129 17.755  355.80
21360 C 14.599 17.483  295.50
21421 O 14.290 16.672  175.98
21460 O 14.086 16.509  223.10
21489 O 13.798 16.509  337.50
21574 O 14.189 16.492  190.79
21698 O 14.173 17.355  365.00
21923 C 14.736 18.348  422.10
22146 C 14.521 16.834  270.10
22188 O 14.159 16.500  188.79
22356 O 13.109 16.753  636.30
22381 C 15.025 18.260  367.00
22601 C 14.006 16.784  377.00
22617 C 14.549 16.968  259.20
22645 C 14.563 16.767  249.70
22684 O 14.523 17.027  169.20
22906 O 14.379 16.660  164.59
23012 C 14.230 16.191  224.00
23372 C 14.565 17.380  354.70
23431 C 13.797 16.377  425.60
23680 C 14.334 16.103  162.08
23791 C 14.542 16.956  317.20
23990 O 13.094 16.376  794.20
24184 O 14.685 17.988  251.30
24477 O 14.423 16.634  166.96
24524 O 14.184 16.781  215.30
24545 C 14.119 16.517  302.70
24564 C 13.075 15.101  394.30
24634 C 14.195 16.396  284.70
24746 O 14.616 18.583  401.90
24904 O 14.055 16.308  200.80
24920 O 14.109 16.185  171.72
24932 O 14.143 16.386  170.68
24936 O 14.157 16.916  234.20
24960 C 14.867 16.765  173.96
24995 O 14.147 16.456  171.75
25604 O 14.305 16.985  179.42
25625 O 14.343 16.840  237.20
25663 C 14.423 17.457  367.50
25756 C 14.327 16.956  319.40
25784 C 14.983 17.968  307.40
25968 O 13.152 17.175  543.40
26028 C 15.081 18.117  386.60
26076 C 14.835 17.000  370.40
26103 C 14.204 16.494  292.60
26143 O 14.585 17.213  174.74
26156 O 14.174 16.713  183.04
26210 C 14.281 16.981  294.90
26270 O 14.843 17.044  107.04
26340 O 14.926 18.494  248.30
26404 C 14.163 16.306  288.10
26433 C 14.597 16.893  223.70
26632 O 14.227 16.548  188.71
26878 O 13.863 17.172  338.20
26881 O 14.817 17.272  146.99
26970 C 14.616 17.630  347.50
27180 O 14.152 16.016  200.10
27279 O 14.731 16.995  120.68
27385 C 15.205 17.510  309.20
27472 C 15.088 18.309  369.20
28175 C 14.384 16.727  314.60
28234 O 14.810 16.956  127.66
28263 C 14.096 16.494  306.30
28350 O 14.391 17.031  228.20
28929 C 14.376 16.979  322.00
29059 C 14.071 16.488  311.50
29130 C 14.639 17.699  319.10
29367 O 14.137 17.722  431.60
29390 O 14.413 17.572  439.00
29399 O 14.423 18.124  375.50
29416 O 13.090 16.952  613.40
29486 C 14.349 16.858  305.30
29510 O 14.263 16.758  205.50
29639 C 14.862 17.186  352.30
29668 O 13.918 16.071  179.89
29722 C 14.668 17.646  332.70
29723 C 14.327 17.926  449.90
29777 O 14.361 17.091  246.10
29842 C 14.234 16.746  317.90
29859 C 14.483 17.564  395.90
29983 O 14.145 16.669  190.98
30148 C 15.124 18.352  378.20
30210 C 14.423 16.743  298.10
30259 C 14.501 16.479  225.10
30332 O 14.625 17.654  254.40
30403 O 13.975 17.035  284.30
30440 C 14.194 16.484  286.70
30758 C 14.581 17.228  331.10
30769 O 14.365 16.704  231.00
30802 C 14.416 16.552  279.70
30982 C 14.773 16.641  182.64
31138 O 14.259 17.263  386.70
31249 O 14.142 16.055  152.25
31457 C 14.229 16.471  282.50
31542 C 14.440 17.294  347.50
31611 C 14.525 16.630  240.50
32008 O 14.217 16.439  193.48
32102 C 14.490 17.733  437.80 *
32109 O 14.114 16.067  184.19
32224 O 12.865 17.149  559.50
32499 O 13.447 16.378  357.70
32510 C 14.183 16.777  320.80
32692 C 15.137 18.163  390.20
32697 O 14.740 18.064  281.10
32774 O 14.690 17.160  176.24
